energy,range
31.72898011585568,10
36.79856539193572,13
41.378823325273515,16
45.59781399739656,19
49.53535208959171,22
53.24526295739355,25
56.765931481134444,28
60.12589987060638,31
63.34709259742821,34
66.4467946545581,37
69.43892683524095,40
72.33490165524127,43
75.14421734256163,46
77.87488183485098,49
80.53372281624448,52
83.12661920007179,55
85.65867713906536,58
88.1343660240133,61
90.55762507715073,64
92.93194797167754,67
95.26045078341389,70
97.54592712781803,73
99.79089332373128,76
101.99762570838189,79
104.16819171245248,82
106.30447592769909,85
108.40820212144712,88
110.48095194421263,91
112.52418091932932,94
114.53923218322377,97
116.52734835224015,100
118.48968181974897,103
120.42730373065365,106
122.34121183564065,109
124.23233739186617,112
126.10155124818527,115
127.94966922995908,118
129.777456919747,121
131.5856339148979,124
133.37487763049944,127
135.14582670578662,130
136.89908406351918,133
138.63521966468426,136
140.35477299489267,139
142.05825531380782,142
143.74615169470314,145
145.41892287765103,148
147.07700695679267,151
148.72082091953405,154
150.35076205328443,157
151.96720923344154,160
153.5705241046796,163
155.16105216617362,166
156.73912377016163,169
158.30505504217624,172
159.85914873034454,175
161.401694990343,178
162.93297211188036,181
164.4532471919595,184
165.96277675961755,187
167.46180735636247,190
168.95057607609488,193
170.42931106792744,196
171.89823200497935,199
173.35755052192377,202
174.80747062380436,205
176.2481890683981,208
177.67989572419236,211
179.10277390585574,214
180.51700068891122,217
181.9227472051713,220
183.32017892035617,223
184.70945589519394,226
186.09073303119226,229
187.46416030216852,232
188.82988297253806,235
190.18804180327595,238
191.53877324639507,241
192.88220962871503,244
194.21847932563645,247
195.5477069255776,250
196.87001338568214,253
198.18551617935822,256
199.49432943616813,259
200.79656407454962,262
202.09232792781268,265
203.3817258638257,268
204.6648598987734,271
205.94182930534274,274
207.21273071566733,277
208.4776582193385,280
209.73670345676936,283
210.98995570817914,286
212.2375019784472,289
213.47942707806862,292
214.7158137004294,295
215.94674249560333,298
217.17229214086146,301
218.39253940807095,304
219.60755922815034,307
220.8174247527373,310
222.02220741321477,313
223.22197697723306,316
224.41680160285705,319
225.6067478904593,322
226.79188093247308,325
227.97226436111274,328
229.1479603941618,331
230.31902987892425,334
231.48553233442829,337
232.64752599196672,340
233.8050678340542,343
234.9582136318759,346
236.10701798129872,349
